window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
48,137717685851868,1230.5,269.3,860.7,100.5,49.5,1005.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1228.6,1005.9,199.5,274.9,1215.1
49,137717691063108,1766.0,719.7,798.2,248.1,95.3,1645.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1764.1,1320.9,563.0,600.5,1750.6
50,137717696830605,1232.7,384.3,740.2,108.2,52.6,920.2,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1230.4,920.2,217.9,224.0,1216.9
51,137717702053910,1096.3,525.7,481.5,89.0,55.3,635.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1094.0,999.7,692.4,701.2,1080.0
52,137717707200527,1858.9,1017.8,714.0,127.0,53.2,1511.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1857.0,1511.9,813.6,830.3,1843.1
53,137717713004094,1238.1,741.0,368.5,128.6,60.6,752.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1235.7,1134.0,814.6,821.1,1214.7
54,137717718305011,922.0,476.1,362.4,83.5,57.0,422.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,920.3,821.9,481.2,493.2,905.4
55,137717723210170,442.9,124.2,292.5,26.2,13.1,404.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,440.5,342.4,97.5,104.8,427.3
56,137717727670419,1408.0,456.4,833.8,117.8,77.3,1151.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1406.5,1151.9,366.0,370.3,1392.6
57,137717733123078,1076.4,490.7,500.7,85.0,55.8,513.7,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1074.9,982.2,570.7,586.3,1060.2
58,137717738169568,1065.7,475.8,498.1,91.8,58.6,437.3,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1064.2,966.4,497.3,501.2,1050.3
59,137717743259188,1217.1,323.1,696.6,197.4,95.3,1095.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1214.9,751.6,86.3,91.3,1200.2
60,137717748481200,1581.3,610.1,752.0,219.2,78.1,1178.4,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1579.6,1178.4,509.8,516.2,1565.9
61,137717754080352,1121.8,553.9,485.4,82.5,55.1,524.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1119.0,1029.1,581.1,588.3,1104.7
62,137717759253123,1581.9,764.0,568.5,249.4,90.5,1458.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1580.4,1125.5,609.3,612.4,1557.8
63,137717764842470,445.2,117.8,298.8,28.6,13.0,392.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,440.7,340.2,77.3,87.0,424.1
64,137717769273316,959.6,483.2,393.3,83.2,54.1,444.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,957.2,860.3,500.7,510.4,944.6
65,137717774233755,1685.5,719.8,743.1,222.7,81.9,1577.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1682.8,1196.7,494.9,501.4,1668.2
66,137717779944892,522.3,149.0,340.7,32.6,12.8,484.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,519.5,426.9,123.3,138.7,506.9
67,137717784450377,817.9,475.4,260.4,82.2,57.5,419.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,816.3,725.3,479.0,490.5,801.4
68,137717789264372,975.7,577.4,316.8,81.5,52.0,542.7,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,973.4,882.1,595.8,599.9,960.0
69,137717794274903,969.6,551.0,341.6,76.9,44.2,514.2,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,967.4,877.5,564.3,573.7,953.2
70,137717799281722,1012.6,563.2,356.3,93.0,60.8,523.0,rx collecting results@147/0-RX-10,prepare streams@25/0-worker,1010.9,914.0,586.0,605.4,988.4
71,137717804365085,1870.1,661.1,482.4,726.5,561.4,951.3,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1867.9,951.3,579.7,583.6,1844.6
72,137717810229106,1095.0,532.3,469.7,93.0,56.7,503.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1092.2,990.5,562.2,583.0,1077.0
73,137717815360889,892.2,483.3,330.0,78.9,51.8,452.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,889.8,793.3,505.2,515.0,875.6
74,137717820237042,1760.5,687.9,729.6,343.0,188.8,1545.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1758.3,1209.3,503.2,576.7,1743.6
75,137717826113555,1148.0,662.3,396.5,89.1,63.4,648.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1146.1,1054.8,713.7,724.8,1132.0
76,137717831254981,1807.3,881.2,759.2,166.8,84.2,1479.6,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1805.7,1479.6,757.6,770.0,1792.7
77,137717837107406,1089.1,552.8,453.0,83.4,56.2,516.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1087.4,998.2,574.2,577.5,1073.6
78,137717842175972,1097.7,575.9,433.3,88.6,56.5,539.7,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1095.5,998.0,598.8,603.1,1074.9
79,137717847290067,1661.8,668.4,778.5,214.9,82.4,1545.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1659.6,1248.7,504.4,510.4,1645.1
80,137717852974189,451.7,150.5,273.1,28.1,11.5,414.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,449.3,348.8,118.5,122.6,435.5
81,137717857448800,1611.6,626.2,827.7,157.7,62.5,428.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1609.2,1279.0,492.8,510.6,1594.7
82,137717863104251,852.0,496.4,269.7,85.9,56.5,456.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,850.2,759.8,515.3,522.0,836.8
83,137717867917479,1647.9,671.7,737.8,238.3,97.1,1525.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1645.9,1211.9,510.3,526.8,1632.4
84,137717873575415,1545.0,505.8,765.9,273.3,253.6,1203.1,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1542.7,1203.1,471.2,475.0,1529.6
