0921,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,4,1024,1536,4924,28.03
0921,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp4,4,1024,1536,4922,30.35
0921,2026.09.18-3faba6d0,mixtral-8x7b-instruct-v0.1-tp2,8,1024,1536,1264,79.24
0921,2026.09.18-3faba6d0,qwen-2.5-32b-it-fast-tp2,8,1024,1536,3976,35.25
0921,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,515,184.37
0921,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,635,140.89
0921,2026.09.18-3faba6d0,gemma-2-9b-it-fast-tp2,8,1024,1536,853,102.3
0921,2026.09.18-3faba6d0,ingested-gpt-oss-120b-tp4,8,1024,1536,1084,108.37
0921,2026.09.18-3faba6d0,ingested-gemma-4-31b-it-tp2,8,1024,1536,5433,38.09
0922,2026.09.18-3faba6d0,llama-3.2-3b-instruct-fast-tp2,32,200,845,56,197.08
0922,2026.09.18-3faba6d0,llama-3.1-8b-instruct-good-tp2,8,1024,1536,668,141.08
0922,2026.09.18-3faba6d0,llama-3.1-8b-instruct-good-tp2,32,4096,1536,18646,28.25
0922,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,8,1024,1536,9444,16.58
0922,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp2,4,1024,1536,3672,27.89
0922,2026.09.18-3faba6d0,llama-3.3-70b-instruct-good-tp4,4,1024,1536,4917,30.37
0922,2026.09.18-3faba6d0,mixtral-8x7b-instruct-v0.1-tp2,8,1024,1536,1263,79.07
0922,2026.09.18-3faba6d0,qwen-2.5-32b-it-fast-tp2,8,1024,1536,3963,35.19
0922,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,516,183.88
0922,2026.09.18-3faba6d0,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,645,148.67
0922,2026.09.18-3faba6d0,gemma-2-9b-it-fast-tp2,8,1024,1536,845,101.34
0922,2026.09.18-3faba6d0,ingested-gpt-oss-120b-tp4,8,1024,1536,1084,109.7
0922,2026.09.18-3faba6d0,ingested-gemma-4-31b-it-tp2,8,1024,1536,5446,37.97
0923,2026.09.23-5cf65b92,llama-3.2-3b-instruct-fast-tp2,32,200,845,56,198.01
0923,2026.09.23-5cf65b92,llama-3.1-8b-instruct-good-tp2,8,1024,1536,658,141.39
0923,2026.09.23-5cf65b92,llama-3.1-8b-instruct-good-tp2,32,4096,1536,11569,32.49
0923,2026.09.23-5cf65b92,llama-3.3-70b-instruct-good-tp2,8,1024,1536,9395,16.59
0923,2026.09.23-5cf65b92,llama-3.3-70b-instruct-good-tp2,4,1024,1536,4419,27.87
0923,2026.09.23-5cf65b92,llama-3.3-70b-instruct-good-tp4,4,1024,1536,4911,31.33
0923,2026.09.23-5cf65b92,mixtral-8x7b-instruct-v0.1-tp2,8,1024,1536,1293,78.96
0923,2026.09.23-5cf65b92,qwen-2.5-32b-it-fast-tp2,8,1024,1536,3970,35.29
0923,2026.09.23-5cf65b92,ingested-qwen-3-4b-instruct-2507-tp2,8,1024,1536,489,183.62
0923,2026.09.23-5cf65b92,ingested-qwen-3-4b-instruct-2507-tp4,8,1024,1536,562,172.12
0923,2026.09.23-5cf65b92,gemma-2-9b-it-fast-tp2,8,1024,1536,849,102.85
0923,2026.09.23-5cf65b92,ingested-gpt-oss-120b-tp4,8,1024,1536,1071,118.91
0923,2026.09.23-5cf65b92,ingested-gemma-4-31b-it-tp2,8,1024,1536,5411,37.4
