Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444645.498490	51	0.41	2738
1788444645.498507	52	0.41	2713
1788444645.498524	53	0.40	2729
1788444645.498540	54	0.40	2751
1788444645.498556	55	0.40	2716
1788444645.498573	56	0.40	2701
1788444645.498591	57	0.40	2749
1788444645.498609	58	0.40	2710
1788444645.498626	59	0.41	2733
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444646.499636	-	4.08	3784
1788444646.499213	151	0.40	2798
1788444646.499230	152	0.41	2778
1788444646.499247	153	0.40	2792
1788444646.499263	24	99.76	3895
1788444646.499279	25	0.41	2786
1788444646.499295	26	0.39	2724
1788444646.499312	27	0.40	2711
1788444646.499329	28	0.40	2717
1788444646.499339	29	0.40	2726
1788444646.499358	30	0.38	2601
1788444646.499375	31	0.39	2707
1788444646.499392	32	0.40	2697
1788444646.499408	33	0.40	2722
1788444646.499423	34	0.40	2705
1788444646.499440	35	0.40	2721
1788444646.499456	48	0.40	2734
1788444646.499472	49	0.40	2711
1788444646.499488	50	0.40	2710
1788444646.499504	51	0.41	2738
1788444646.499520	52	0.41	2713
1788444646.499536	53	0.40	2731
1788444646.499553	54	0.40	2750
1788444646.499569	55	0.40	2716
1788444646.499585	56	0.40	2702
1788444646.499602	57	0.40	2749
1788444646.499619	58	0.40	2709
1788444646.499636	59	0.46	2868
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444647.500172	-	4.09	3784
1788444647.499740	151	0.41	2795
1788444647.499757	152	0.42	2819
1788444647.499775	153	0.41	2798
1788444647.499790	24	99.76	3895
1788444647.499806	25	0.43	2833
1788444647.499823	26	0.41	2769
1788444647.499839	27	0.42	2753
1788444647.499855	28	0.41	2721
1788444647.499871	29	0.42	2766
1788444647.499889	30	0.40	2647
1788444647.499905	31	0.41	2740
1788444647.499923	32	0.41	2725
1788444647.499939	33	0.41	2772
1788444647.499954	34	0.40	2708
1788444647.499971	35	0.40	2716
1788444647.499988	48	0.41	2737
1788444647.500006	49	0.43	2777
1788444647.500023	50	0.41	2762
1788444647.500039	51	0.43	2801
1788444647.500056	52	0.43	2759
1788444647.500072	53	0.40	2743
1788444647.500089	54	0.42	2804
1788444647.500105	55	0.41	2756
1788444647.500121	56	0.42	2749
1788444647.500138	57	0.42	2809
1788444647.500155	58	0.41	2736
1788444647.500172	59	0.42	2730
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444648.501216	-	4.09	3783
1788444648.500786	151	0.41	2796
1788444648.500803	152	0.41	2776
1788444648.500820	153	0.41	2789
1788444648.500836	24	99.76	3895
1788444648.500853	25	0.41	2785
1788444648.500869	26	0.40	2724
1788444648.500886	27	0.40	2708
1788444648.500903	28	0.40	2716
1788444648.500919	29	0.40	2723
1788444648.500935	30	0.38	2600
1788444648.500951	31	0.39	2705
1788444648.500967	32	0.41	2695
1788444648.500983	33	0.40	2722
1788444648.501000	34	0.40	2705
1788444648.501016	35	0.40	2712
1788444648.501033	48	0.40	2733
1788444648.501050	49	0.42	2750
1788444648.501066	50	0.40	2709
1788444648.501083	51	0.41	2737
1788444648.501099	52	0.41	2711
1788444648.501116	53	0.40	2729
1788444648.501132	54	0.40	2750
1788444648.501148	55	0.40	2716
1788444648.501165	56	0.40	2702
1788444648.501182	57	0.40	2749
1788444648.501193	58	0.43	2710
1788444648.501216	59	0.46	2876
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444649.501763	-	4.09	3784
1788444649.501322	151	0.41	2798
1788444649.501339	152	0.41	2779
1788444649.501356	153	0.41	2810
1788444649.501372	24	99.76	3895
1788444649.501389	25	0.41	2784
1788444649.501406	26	0.40	2724
1788444649.501422	27	0.40	2710
1788444649.501439	28	0.40	2716
1788444649.501455	29	0.40	2723
1788444649.501471	30	0.39	2615
1788444649.501492	31	0.40	2711
1788444649.501512	32	0.40	2696
1788444649.501528	33	0.40	2723
1788444649.501544	34	0.41	2723
1788444649.501562	35	0.40	2712
1788444649.501579	48	0.40	2734
1788444649.501596	49	0.40	2715
1788444649.501612	50	0.40	2729
1788444649.501630	51	0.41	2737
1788444649.501646	52	0.41	2726
1788444649.501662	53	0.40	2730
1788444649.501678	54	0.41	2780
1788444649.501695	55	0.40	2714
1788444649.501712	56	0.41	2727
1788444649.501729	57	0.40	2747
1788444649.501746	58	0.42	2718
1788444649.501763	59	0.41	2724
Time_Of_Day_Seconds	CPU	Busy%	Bzy_MHz
1788444650.418710	-	3.79	3774
1788444650.418189	151	0.40	2798
1788444650.418208	152	0.41	2779
1788444650.418227	153	0.40	2791
1788444650.418269	24	91.80	3894
1788444650.418288	25	0.41	2785
1788444650.418307	26	0.39	2725
1788444650.418324	27	0.40	2715
1788444650.418342	28	0.41	2716
1788444650.418360	29	0.40	2723
1788444650.418377	30	0.38	2597
1788444650.418395	31	0.40	2707
1788444650.418414	32	0.40	2697
1788444650.418454	33	0.40	2730
1788444650.418472	34	0.40	2704
1788444650.418490	35	0.40	2713
1788444650.418509	48	0.40	2733
1788444650.418528	49	0.48	2771
1788444650.418547	50	0.40	2709
1788444650.418565	51	0.41	2745
1788444650.418582	52	0.41	2714
1788444650.418600	53	0.40	2729
1788444650.418618	54	0.40	2750
1788444650.418636	55	0.40	2716
1788444650.418655	56	0.40	2702
1788444650.418673	57	0.40	2750
1788444650.418692	58	0.41	2708
1788444650.418710	59	0.48	2914
