f1_ts,f1f3_us,n_slices,work_us,wait_us,idle_us,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:compute_forward_args,us:construct_minibatches,us:finalize_ranges,us:add_tokens,us:assemble attention plan,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:Free scratchpads,us:other
256164977032547,248.09,28,6.1,232.47,9.51,231.3,185.34,237.46,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,2.59,0.0,10.46,3.45,699.97,0.0,1.12
256164982542382,639.31,28,7.34,572.95,59.01,572.5,337.79,578.74,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,3.15,0.0,17.12,3.47,740.56,0.0,1.48
256164988053057,310.46,28,7.34,294.61,8.5,294.75,182.4,300.83,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,3.1,0.0,17.68,3.55,666.97,0.0,1.12
256164992688315,247.05,28,6.87,231.58,8.6,231.48,189.75,237.21,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,2.48,0.0,30.12,3.52,683.85,0.0,1.24
256164998028900,1056.23,28,6.79,1041.64,7.81,1040.43,317.76,1047.29,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,2.73,0.0,8.94,3.48,735.57,0.0,1.14
256165003574653,577.38,28,7.98,419.45,149.95,393.89,169.96,424.89,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,2.83,0.0,9.43,3.6,662.64,0.0,2.54
256165008354849,253.75,28,7.25,238.5,8.0,237.58,189.6,244.45,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,3.12,0.0,10.22,3.51,702.27,0.0,1.3
256165013067548,316.82,28,5.96,301.87,8.99,300.0,185.69,306.58,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,2.54,0.0,8.23,3.44,698.48,0.0,1.26
256165018036915,239.74,28,5.92,225.1,8.72,223.82,176.43,229.82,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,2.74,0.0,15.03,3.45,672.79,0.0,1.2
256165023045323,325.3,28,6.79,310.01,8.5,309.2,190.87,315.19,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,2.42,0.0,13.13,3.56,678.8,0.0,1.61
256165027704522,234.82,28,6.03,219.48,9.31,218.93,182.37,224.39,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,2.62,0.0,9.14,3.52,695.92,0.0,1.12
256165033015826,244.79,28,5.91,231.1,7.78,229.99,184.5,235.9,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,2.54,0.0,8.35,3.39,703.69,0.0,1.11
256165037538227,318.12,28,6.79,303.09,8.24,302.4,186.33,308.81,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,2.8,0.0,12.88,3.61,698.55,0.0,1.07
256165042914173,1773.29,28,7.06,1711.26,54.97,1525.36,298.9,1716.55,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,2.52,0.0,12.61,3.53,754.53,0.0,1.77
256165050045238,252.97,28,6.39,237.03,9.55,236.31,184.61,242.26,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,2.52,0.0,12.61,3.54,696.75,0.0,1.11
256165055193881,918.94,28,6.66,857.72,54.56,856.22,342.68,863.01,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.4,0.0,20.97,3.59,727.09,0.0,1.37
256165061206339,902.74,28,6.97,836.44,59.33,835.9,338.84,842.17,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,2.85,0.0,10.13,3.51,760.32,0.0,1.24
256165067031171,1056.08,28,7.19,1040.32,8.57,1039.95,330.57,1046.14,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,2.66,0.0,11.56,3.49,814.67,0.0,1.37
256165073034677,239.75,28,6.88,223.84,9.03,223.69,185.9,229.51,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,2.53,0.0,16.75,3.55,675.6,0.0,1.21
256165078047006,240.23,28,6.96,224.15,9.12,223.16,195.73,230.09,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,2.95,0.0,15.71,3.68,705.22,0.0,1.02
256165083038179,310.29,28,6.5,295.8,7.99,295.27,188.17,301.16,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,2.64,0.0,15.7,3.49,687.59,0.0,1.14
256165088061711,250.52,28,6.26,235.75,8.51,234.92,184.55,240.85,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,2.5,0.0,10.07,3.58,685.0,0.0,1.16
256165093698654,1354.64,28,7.52,1289.31,57.81,1289.06,351.59,1295.51,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,2.97,0.0,11.74,3.48,750.47,0.0,1.32
256165100040068,317.47,28,6.13,302.23,9.1,300.69,186.26,307.32,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,2.86,0.0,10.87,3.49,692.15,0.0,1.05
256165105046528,311.79,28,5.81,297.96,8.02,296.65,184.59,302.82,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,2.6,0.0,13.93,3.44,709.45,0.0,0.95
256165110047496,264.85,28,6.17,249.92,8.76,248.72,184.05,254.75,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,2.79,0.0,15.37,3.63,696.37,0.0,1.34
