window,start_ts,dur_us,n_slices,n_threads,n_data_ready,n_rope_spans,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:finalize_minibatches,us:construct_minibatches,us:gather_token_data,us:compute_forward_args,us:forward args,us:forward,us:add_tokens,us:finalize_ranges,us:work_queue::do_work get_work,us:poll_dma_completions,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:data ready,us:Rope Q,us:Free scratchpads,us:other
75,137016513274812,1010.453,217,10,24,0,344.426,166.725,352.216,0.357,0.458,4.62,0.25,19.488,0.0,71.665,0.725,1.283,1.231,0.0,10.907,75.607,17.368,59.976,1580.399,23.792,918.322,0.0,0.0,3.636,414.891
76,137016518279816,950.365,217,10,24,0,341.171,177.36,346.648,0.393,0.451,4.754,0.255,18.52,0.0,74.238,0.746,1.341,0.868,0.0,10.612,74.137,17.005,59.902,1321.296,22.34,914.795,0.0,0.0,4.22,422.877
77,137016523237500,1030.367,199,10,24,0,433.088,187.043,439.639,8.959,0.424,4.509,0.263,19.11,0.0,73.481,0.709,1.232,0.9,0.0,7.212,72.274,12.529,56.543,1235.879,22.929,916.848,0.0,0.0,3.49,408.404
78,137016528314209,944.185,210,10,24,0,351.964,181.665,358.14,0.379,0.669,14.78,0.263,18.76,0.0,75.712,0.701,1.164,1.115,0.0,9.232,72.716,15.886,60.039,1391.271,21.814,907.803,0.0,0.0,3.748,407.598
79,137016533306752,1761.472,212,10,24,0,704.254,187.44,772.022,0.42,0.585,36.249,0.237,88.698,0.0,123.312,12.139,5.34,90.265,0.0,7.545,71.513,14.547,57.623,1653.789,23.022,902.099,0.0,0.0,4.017,463.959
80,137016539186248,451.981,217,10,24,0,247.776,170.315,253.68,0.516,0.421,4.475,0.275,18.772,0.0,63.011,0.715,1.191,0.869,0.0,16.368,32.816,23.462,22.025,206.179,21.181,905.711,0.0,0.0,4.035,62.799
81,137016543735807,1360.796,208,10,24,0,641.737,180.771,713.442,0.456,0.46,4.202,0.264,19.425,0.0,61.583,0.698,1.208,0.799,0.0,12.327,175.114,14.855,157.695,1050.524,22.5,958.895,0.0,0.0,3.679,397.821
82,137016549209246,891.711,217,10,24,0,684.117,181.766,698.299,0.346,0.463,4.053,0.265,19.394,0.0,59.705,0.695,1.699,0.736,0.0,7.882,46.103,14.733,35.556,204.485,21.519,906.143,0.0,0.0,3.469,60.429
83,137016554094612,1921.561,222,10,24,0,704.32,174.962,776.041,1.066,0.658,48.079,0.745,81.149,0.0,297.15,7.364,5.604,4.338,0.0,8.202,79.943,15.165,63.546,1445.693,23.106,994.113,0.0,0.0,3.543,562.284
84,137016560115725,1155.352,224,10,24,1,375.823,182.619,382.654,0.444,0.599,4.468,0.242,19.407,0.0,72.789,0.734,1.111,0.819,0.0,8.437,213.55,14.926,195.399,1552.348,24.384,1066.143,0.0,0.0,4.018,414.206
85,137016565235681,880.691,198,10,24,1,631.58,178.135,698.222,0.416,0.435,5.057,0.255,19.363,0.0,74.15,0.759,1.19,1.035,0.0,6.069,28.282,20.078,19.557,119.518,21.441,893.787,0.0,0.0,4.039,52.497
86,137016570125351,1067.176,213,10,24,0,449.233,181.385,454.736,0.394,0.501,4.512,0.236,19.551,0.0,72.836,0.77,1.164,0.862,0.0,12.985,89.846,20.824,75.685,1287.924,22.745,931.694,0.0,0.0,3.029,404.214
87,137016575207604,428.165,238,10,28,0,216.278,177.654,222.046,0.371,0.48,4.394,0.253,17.698,0.0,72.11,0.769,1.18,0.98,0.0,7.944,49.348,15.707,29.589,256.022,24.425,975.149,0.0,0.0,3.91,47.589
88,137016579665407,708.769,195,10,24,0,223.564,176.947,230.384,0.428,0.442,4.486,0.246,18.756,0.0,69.62,0.744,1.038,1.061,0.0,7.23,63.471,12.87,56.574,1201.803,26.943,913.086,0.0,0.0,2.903,292.746
89,137016584425479,1637.843,220,10,24,0,648.009,190.174,709.895,1.882,2.317,49.326,1.332,88.315,0.0,231.431,4.702,3.92,4.188,0.0,7.991,87.634,14.666,68.858,1343.382,23.839,982.052,0.0,0.0,3.78,632.005
90,137016590150600,1090.996,211,10,24,0,453.74,185.854,460.092,0.418,0.504,4.433,0.23,19.086,0.0,77.697,0.754,1.06,1.184,0.0,8.527,78.084,17.236,64.378,1552.329,22.869,912.332,0.0,0.0,2.717,438.0
91,137016595184119,1859.649,199,10,24,0,743.506,179.523,823.666,0.571,2.33,45.315,1.231,81.391,0.0,312.387,4.514,6.338,6.128,0.0,9.31,80.614,15.1,66.439,1354.78,24.194,920.003,0.0,0.0,3.648,556.529
92,137016601073015,1145.396,209,10,24,0,399.474,188.657,404.768,0.389,0.53,5.298,0.228,19.319,0.0,75.714,0.758,1.057,0.939,0.0,7.994,71.854,19.554,56.612,1849.0,23.94,1070.421,0.0,0.0,3.223,401.226
93,137016606239669,1047.369,215,10,23,0,416.075,165.535,422.457,0.443,0.45,4.23,0.248,17.922,0.0,63.997,0.695,1.424,1.071,0.0,78.949,95.973,85.946,78.006,1301.319,22.152,909.634,0.0,0.0,3.655,409.25
94,137016611327297,1709.332,215,10,24,0,661.477,183.765,733.765,1.686,0.482,46.325,0.84,82.485,0.0,275.038,7.975,5.925,5.726,0.0,8.827,160.209,15.543,51.074,1052.037,23.949,943.556,0.0,0.0,3.675,535.571
95,137016617060914,1646.823,227,10,26,0,639.418,176.431,709.789,1.935,0.607,46.556,0.374,82.479,0.0,264.575,14.431,4.101,3.407,0.0,8.383,191.159,15.009,79.578,920.114,25.608,935.088,0.0,0.0,3.11,537.695
96,137016622737009,547.901,217,10,24,0,342.738,177.094,349.508,0.394,0.446,4.438,0.239,19.633,0.0,62.773,0.681,1.131,0.959,0.0,7.541,42.241,14.347,31.807,225.963,21.52,902.14,0.0,0.0,3.242,62.115
97,137016627279728,1320.775,218,10,24,1,657.595,173.162,732.782,1.834,0.446,47.234,0.628,84.295,0.0,302.869,10.735,2.993,1.912,0.0,6.858,68.37,13.569,57.519,209.304,20.861,942.774,0.0,0.0,3.883,201.623
